cycle,bases,mean_phred,q20_percent,q30_percent
223,24,38.541667,95.833333,95.833333
224,24,39.458333,100.000000,95.833333
225,24,39.708333,100.000000,100.000000
226,24,37.375000,95.833333,87.500000
227,24,39.333333,100.000000,100.000000
228,24,38.583333,100.000000,95.833333
229,24,37.500000,100.000000,91.666667
230,24,39.208333,100.000000,100.000000
231,24,39.708333,100.000000,100.000000
232,24,39.833333,100.000000,100.000000
233,24,39.500000,100.000000,100.000000
234,24,38.708333,100.000000,91.666667
235,24,39.083333,100.000000,95.833333
236,24,38.791667,100.000000,95.833333
237,24,39.000000,100.000000,95.833333
238,24,39.916667,100.000000,100.000000
239,24,39.958333,100.000000,100.000000
240,24,39.916667,100.000000,100.000000
241,24,39.041667,95.833333,95.833333
242,24,39.541667,100.000000,100.000000
243,24,40.000000,100.000000,100.000000
244,24,39.875000,100.000000,100.000000
245,24,38.625000,95.833333,95.833333
246,24,39.875000,100.000000,100.000000
247,24,40.000000,100.000000,100.000000
248,24,40.000000,100.000000,100.000000
249,24,39.541667,100.000000,95.833333
250,24,39.250000,100.000000,100.000000
251,24,40.000000,100.000000,100.000000
252,24,40.000000,100.000000,100.000000
253,24,39.416667,100.000000,95.833333
254,24,40.000000,100.000000,100.000000
255,24,39.750000,100.000000,100.000000
256,24,40.000000,100.000000,100.000000
257,24,40.000000,100.000000,100.000000
258,24,38.750000,95.833333,95.833333
259,24,40.000000,100.000000,100.000000
260,24,39.708333,100.000000,100.000000
261,24,39.333333,100.000000,100.000000
262,24,40.000000,100.000000,100.000000
263,24,39.708333,100.000000,100.000000
264,24,40.000000,100.000000,100.000000
265,24,39.291667,100.000000,100.000000
266,24,40.000000,100.000000,100.000000
267,24,39.958333,100.000000,100.000000
268,24,39.916667,100.000000,100.000000
269,24,39.791667,100.000000,100.000000
270,24,39.833333,100.000000,100.000000
271,24,39.750000,100.000000,100.000000
272,24,39.958333,100.000000,100.000000
273,24,32.333333,95.833333,70.833333
274,24,29.166667,79.166667,58.333333
275,24,28.958333,79.166667,58.333333
276,24,27.875000,79.166667,62.500000
277,24,27.375000,83.333333,50.000000
278,24,30.541667,95.833333,62.500000
279,24,31.333333,95.833333,62.500000
280,24,28.708333,91.666667,58.333333
281,24,28.875000,83.333333,70.833333
282,24,29.750000,87.500000,62.500000
283,24,33.541667,95.833333,79.166667
284,24,33.500000,91.666667,83.333333
285,24,36.458333,100.000000,95.833333
286,24,36.125000,100.000000,95.833333
287,24,34.875000,100.000000,87.500000
288,24,30.416667,95.833333,58.333333
289,24,27.583333,91.666667,45.833333
290,24,29.625000,91.666667,58.333333
291,24,32.916667,95.833333,83.333333
292,24,35.125000,100.000000,91.666667
293,24,33.625000,95.833333,91.666667
294,24,36.958333,100.000000,100.000000
295,24,33.375000,95.833333,87.500000
296,24,36.208333,100.000000,91.666667
297,24,34.500000,95.833333,91.666667
298,24,36.500000,100.000000,91.666667
299,24,32.000000,95.833333,70.833333
300,24,32.958333,100.000000,79.166667
301,24,36.875000,100.000000,100.000000
302,24,35.041667,95.833333,91.666667
303,24,35.416667,95.833333,91.666667
304,24,35.458333,100.000000,91.666667
305,24,35.166667,95.833333,87.500000
306,24,32.708333,91.666667,83.333333
307,24,34.291667,100.000000,83.333333
308,24,35.500000,100.000000,91.666667
309,24,32.625000,95.833333,79.166667
310,24,34.958333,100.000000,91.666667
311,24,34.250000,100.000000,91.666667
312,24,34.875000,100.000000,87.500000
313,24,33.083333,95.833333,79.166667
314,24,34.916667,95.833333,91.666667
315,24,36.666667,100.000000,95.833333
316,24,36.916667,100.000000,95.833333
317,24,36.958333,100.000000,100.000000
318,24,34.458333,100.000000,83.333333
319,24,34.958333,100.000000,91.666667
320,24,36.666667,100.000000,95.833333
321,24,34.750000,100.000000,83.333333
322,24,36.458333,100.000000,91.666667
323,24,37.125000,100.000000,100.000000
324,24,36.791667,100.000000,95.833333
325,24,35.416667,100.000000,87.500000
326,24,33.833333,100.000000,79.166667
327,24,34.375000,95.833333,83.333333
328,24,36.083333,100.000000,95.833333
329,24,35.791667,100.000000,91.666667
330,24,35.250000,100.000000,91.666667
331,24,35.916667,100.000000,91.666667
332,24,37.000000,100.000000,100.000000
333,24,35.875000,100.000000,91.666667
334,24,36.375000,100.000000,95.833333
335,24,33.291667,95.833333,75.000000
336,24,37.541667,100.000000,100.000000
337,24,36.708333,100.000000,100.000000
338,24,37.958333,100.000000,100.000000
339,24,37.916667,100.000000,100.000000
340,24,37.750000,100.000000,100.000000
341,24,37.666667,100.000000,100.000000
342,24,37.500000,100.000000,100.000000
343,24,37.166667,100.000000,100.000000
344,24,37.791667,100.000000,100.000000
345,24,37.708333,100.000000,100.000000
346,24,37.833333,100.000000,100.000000
347,24,37.416667,100.000000,100.000000
348,24,37.625000,100.000000,100.000000
349,24,37.583333,100.000000,100.000000
350,24,36.416667,100.000000,91.666667
351,24,37.375000,100.000000,100.000000
352,24,36.750000,100.000000,95.833333
353,24,37.708333,100.000000,100.000000
354,24,37.458333,100.000000,100.000000
355,24,37.125000,100.000000,100.000000
356,24,36.750000,100.000000,95.833333
357,24,35.833333,95.833333,95.833333
358,24,37.083333,100.000000,100.000000
359,24,37.416667,100.000000,100.000000
360,24,35.958333,100.000000,91.666667
361,24,37.000000,100.000000,95.833333
362,24,37.625000,100.000000,100.000000
363,24,37.208333,100.000000,100.000000
364,24,36.625000,100.000000,91.666667
365,24,35.541667,95.833333,95.833333
366,24,35.250000,95.833333,91.666667
367,24,37.666667,100.000000,100.000000
368,24,37.750000,100.000000,100.000000
369,24,37.500000,100.000000,100.000000
370,24,37.541667,100.000000,100.000000
371,24,37.458333,100.000000,100.000000
372,24,37.708333,100.000000,100.000000
373,24,36.666667,100.000000,95.833333
374,24,37.458333,100.000000,100.000000
375,24,37.208333,100.000000,100.000000
376,24,37.333333,100.000000,100.000000
377,24,37.250000,100.000000,100.000000
378,24,36.666667,95.833333,91.666667
379,24,35.750000,95.833333,87.500000
380,24,36.000000,95.833333,91.666667
381,24,37.125000,100.000000,100.000000
382,24,37.125000,100.000000,100.000000
383,24,36.750000,100.000000,95.833333
384,24,36.291667,100.000000,95.833333
385,24,36.708333,100.000000,95.833333
386,24,37.625000,100.000000,100.000000
387,24,37.416667,100.000000,100.000000
388,24,37.458333,100.000000,100.000000
389,24,37.125000,100.000000,95.833333
390,24,37.125000,100.000000,95.833333
391,24,35.708333,95.833333,91.666667
392,24,37.875000,100.000000,100.000000
393,24,37.666667,100.000000,100.000000
394,24,37.833333,100.000000,100.000000
395,24,37.791667,100.000000,100.000000
396,24,36.958333,100.000000,95.833333
397,24,37.458333,100.000000,100.000000
398,24,37.125000,100.000000,95.833333
399,24,37.041667,100.000000,95.833333
400,24,37.625000,100.000000,100.000000
401,24,37.875000,100.000000,100.000000
402,24,37.875000,100.000000,100.000000
403,24,37.875000,100.000000,100.000000
404,24,37.208333,100.000000,100.000000
